# DuckDB: elements_decoded / elements_appended at auto=true, single run
# machine: apache10
# date: 2026-09-17
# data: /data/tpch-nested/1/ (SF1)
# duckdb commit: ea57efbb72 (branch prenest-3way)
# datafusion commit: 271583af3 (branch nested_data_processing)
q10a	6045075 1478870
q10b	6045075 1478870
q10	6045075 1478870
q11	0 2
q12	6045075 914792
q13	0 0
q14	6045075 69872
q15	6045075 230590
q16	0 0
q17	0 0
q18	0 0
q19	6045075 1500048
q1	6045075 5916591
q20	6045075 908722
q21	1543860 729414
q22	0 0
q2	0 0
q3a	6045075 3241776
q3b	6045075 3241776
q3	6045075 3241776
q4	1543860 57117
q5	1543860 227597
q6	6045075 114160
q7	6045075 1828450
q8	1543860 457263
q9b	0 0
q9	0 0
