# machine: apache10 | date: 2026-09-18 | data: /data/tpch-nested/1/ (SF1)
# duckdb commit: f98ed6227e (prenest-3way, multi-spec)
# DuckDB: auto=false vs auto=true, default parallelism, median-5 (1 discarded)
# NOTE: counters are the SUM over all specs in a scan.
#   q10: 7588935 = 6045075 (o_lineitems) + 1543860 (c_orders)
#        1535939 = 1478870 (o_lineitems) +   57069 (c_orders)
#   q3:  3969081 = 3241776 (o_lineitems) +  727305 (c_orders)
#   Use parquet_prenest_stat('elements_appended:<list>') for per-list values.
q10a	7588935 1535939
q10b	7588935 1535939
q10	7588935 1535939
q11	0 2
q12	6045075 914792
q13	0 0
q14	6045075 69872
q15	6045075 230590
q16	0 0
q17	0 0
q18	0 0
q19	6045075 1500048
q1	6045075 5916591
q20	6045075 908722
q21	1543860 729414
q22	0 0
q2	0 0
q3a	7588935 3969081
q3b	7588935 3969081
q3	7588935 3969081
q4	1543860 57117
q5	1543860 227597
q6	6045075 114160
q7	6045075 1828450
q8	1543860 457263
q9b	0 0
q9	0 0
